,Year,Age,Female,Male,Total,X.30,X.31,X.37,X.38
368,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,1753,NA,NA,NA,NA,NA,NA,NA,NA
370,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,1753,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,1753,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,1753,NA,NA,NA,NA,NA,NA,NA,NA
376,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,1753,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,1753,NA,NA,NA,NA,NA,NA,NA,NA
380,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,1753,NA,NA,NA,NA,NA,NA,NA,NA
382,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,1753,NA,NA,NA,NA,NA,NA,NA,NA
384,0,NA,NA,NA,NA,NA,NA,NA,NA
385,1754,NA,0,NA,27029,NA,27693.5,NA,54722.5
386,1754,NA,1,NA,26269.78,NA,25883.89,NA,52153.67
387,1754,NA,2,NA,26381.72,NA,26121.61,NA,52503.33
388,1754,NA,3,NA,26502.16,NA,26289.55,NA,52791.71
389,1754,NA,4,NA,21990.34,NA,21455.95,NA,43446.29
390,1754,NA,5,NA,18385.81,NA,17730.92,NA,36116.73
391,1754,NA,6,NA,18378.51,NA,18032.62,NA,36411.13
392,1754,NA,7,NA,18574.76,NA,18265.66,NA,36840.42
393,1754,NA,8,NA,18922.36,NA,18705.7,NA,37628.06
394,1754,NA,9,NA,18910.06,NA,19018.1,NA,37928.16
395,1754,10,NA,18967.75,NA,19375.92,NA,38343.67,NA
396,1754,11,NA,18015.1,NA,18320.5,NA,36335.6,NA
397,1754,12,NA,17258.42,NA,17338.73,NA,34597.15,NA
398,1754,13,NA,16773.2,NA,16590.67,NA,33363.87,NA
399,1754,14,NA,16227.03,NA,15900.17,NA,32127.2,NA
400,1754,15,NA,15601.09,NA,15207.46,NA,30808.55,NA
401,1754,16,NA,16098.46,NA,15371.22,NA,31469.68,NA
402,1754,17,NA,16629.33,NA,15466.86,NA,32096.19,NA
403,1754,18,NA,17305.4,NA,15633.28,NA,32938.68,NA
404,1754,19,NA,17774.73,NA,15801.17,NA,33575.9,NA
405,1754,20,NA,17885.18,NA,15601.25,NA,33486.43,NA
406,1754,21,NA,17278.68,NA,15017.19,NA,32295.87,NA
407,1754,22,NA,16666.41,NA,14448.73,NA,31115.14,NA
408,1754,23,NA,16143.09,NA,13999.42,NA,30142.51,NA
409,1754,24,NA,15704.64,NA,13575.9,NA,29280.54,NA
410,1754,25,NA,15335.23,NA,13421.37,NA,28756.6,NA
411,1754,26,NA,15560.58,NA,13802.02,NA,29362.6,NA
412,1754,27,NA,15591.77,NA,14001.97,NA,29593.74,NA
413,1754,28,NA,15600,NA,14109.41,NA,29709.41,NA
414,1754,29,NA,15644.42,NA,14114.23,NA,29758.65,NA
415,1754,30,NA,15641.79,NA,13947.11,NA,29588.9,NA
416,1754,31,NA,14928.91,NA,13406.82,NA,28335.73,NA
417,1754,32,NA,14066.68,NA,12762.2,NA,26828.88,NA
418,1754,33,NA,13138.61,NA,11974.29,NA,25112.9,NA
419,1754,34,NA,12234.5,NA,11159.59,NA,23394.09,NA
420,1754,35,NA,11306.69,NA,10406.23,NA,21712.92,NA
421,1754,36,NA,11163.47,NA,10306.8,NA,21470.27,NA
422,1754,37,NA,11155.74,NA,10300.76,NA,21456.5,NA
423,1754,38,NA,11373.61,NA,10453.29,NA,21826.9,NA
424,1754,39,NA,11758.48,NA,10700.42,NA,22458.9,NA
425,1754,40,NA,12145.92,NA,10903.4,NA,23049.32,NA
426,1754,41,NA,11578.05,NA,10319.54,NA,21897.59,NA
427,1754,42,NA,10726.6,NA,NA,9523.8,NA,20250.4
428,1754,43,NA,NA,9774.15,NA,NA,NA,NA
429,1754,44,NA,NA,8948.27,NA,NA,NA,NA
430,1754,45,NA,NA,8196.34,NA,NA,NA,NA
431,1754,46,NA,NA,8324.31,NA,NA,NA,NA
432,1754,47,NA,NA,8519.59,NA,NA,NA,NA
433,1754,48,NA,NA,8912.98,NA,NA,NA,NA
434,1754,49,NA,NA,9528.79,NA,NA,NA,NA
435,1754,50,NA,10257.59,NA,NA,8329.6,NA,18587.19
436,1754,51,NA,NA,9845.93,NA,NA,NA,NA
437,1754,52,NA,NA,9161.66,NA,NA,NA,NA
438,1754,53,NA,NA,8229.76,NA,NA,NA,NA
439,1754,54,NA,NA,7308.06,NA,NA,NA,NA
440,1754,55,NA,NA,6446.91,NA,NA,NA,NA
441,1754,56,NA,NA,6512.43,NA,NA,NA,NA
442,1754,57,NA,NA,6655.76,NA,NA,NA,NA
443,1754,58,NA,NA,6907.34,NA,NA,NA,NA
444,1754,59,NA,NA,7256.06,NA,NA,NA,NA
445,1754,60,NA,NA,7747.24,NA,NA,NA,NA
446,1754,61,NA,NA,7589.14,NA,NA,NA,NA
447,1754,62,NA,NA,7322.49,NA,NA,NA,NA
448,1754,63,NA,NA,7091.52,NA,NA,NA,NA
449,1754,64,NA,NA,6848.11,NA,NA,NA,NA
450,1754,65,NA,NA,6340.02,NA,NA,NA,NA
451,1754,66,NA,NA,6068.46,NA,NA,NA,NA
452,1754,67,NA,NA,5734.21,NA,NA,NA,NA
453,1754,68,NA,NA,5483.33,NA,NA,NA,NA
454,1754,69,NA,NA,5279.97,NA,NA,NA,NA
